rep,seed,method,beta_hat,se,ci_lo,ci_hi,p_val
0,1969,Oracle,-1.2992648737478776,1.0620725290068551,-3.3808887795706855,0.7823590320749303,0.22120519186978738
0,1969,Naive,-1.5665992961094837,0.9046367760293347,-3.339654796217407,0.20645620399843967,0.08331915532880899
0,1969,StdRC,-2.013643779805884,1.1627837581434814,-4.292658067575241,0.2653705079634725,0.08331915532880899
0,1969,GRC,-1.7199728944769763,1.0763175191061585,-3.8295164678545484,0.3895706789005957,0.11003935884874093
1,2969,Oracle,-2.2530226357582506,1.3565079129836426,-4.9117292899497835,0.4056840184332824,0.0967337332087594
1,2969,Naive,-2.2153838018589123,1.0181272500138097,-4.210876543564787,-0.21989106015303816,0.029559747796754906
1,2969,StdRC,-3.3680370114299567,1.5478538109354174,-6.4017747341964455,-0.33429928866346836,0.02955974779675493
1,2969,GRC,-3.169287205152525,1.3592940706653802,-5.833454628055513,-0.5051197822495364,0.019723403815319607
2,3969,Oracle,-0.6330546217449177,1.0887847567830744,-2.767033531955946,1.5009242884661105,0.5609491357717095
2,3969,Naive,-0.6738930979102339,0.8525297959292202,-2.3448207936787875,0.9970345978583196,0.4292575333324148
2,3969,StdRC,-0.9310330383161685,1.1778328174311923,-3.2395429402906464,1.3774768636583092,0.429257533332415
2,3969,GRC,-0.9442852960350753,1.046139119761636,-2.9946802935863164,1.1061097015161656,0.3667178623293662
3,4969,Oracle,-1.9417018058759947,1.5338565729651037,-4.948005446337631,1.0646018345856418,0.20555057415864314
3,4969,Naive,-1.5798096028722965,1.4949498226588374,-4.509857413978159,1.3502382082335656,0.2906191710664238
3,4969,StdRC,-3.168109219867269,2.9979336166797856,-9.043951136601557,2.707732696867019,0.29061917106642365
3,4969,GRC,-3.1136600886802777,2.665594827363711,-8.338129947689414,2.110809770328859,0.2427696424656822
4,5969,Oracle,0.13658776800307781,1.1957511287411722,-2.207041378802737,2.480216914808893,0.9090573824982441
4,5969,Naive,-0.2618784567295799,0.9364139556172408,-2.0972160843600607,1.5734591709009007,0.7797376076296197
