rep,seed,method,beta_hat,se,ci_lo,ci_hi,p_val
0,3821,Oracle,-1.8301107716293388,1.4651487457448436,-4.701749545283265,1.0415280020245874,0.21163012974457687
0,3821,Naive,-1.4337420843145168,1.441670115997481,-4.259363589257262,1.3918794206282281,0.31997911591886447
0,3821,StdRC,-1.5340200499282752,1.5425025794509737,-4.5572695517123165,1.4892294518557665,0.3199791159188643
0,3821,GRC,-1.5723399540210536,1.559768802004643,-4.629430630159341,1.4847507221172331,0.31342583879983665
1,4821,Oracle,-0.5354330201039996,1.2353775134684684,-2.9567284538128433,1.885862413604844,0.664712202675924
1,4821,Naive,-0.1654995072344858,1.1738222205095314,-2.466148783686001,2.13514976921703,0.8878762860297525
1,4821,StdRC,-0.17793231627943026,1.2620031931551468,-2.651413123238063,2.2955484906792023,0.8878762860297521
1,4821,GRC,-0.20057321541369907,1.252559910040923,-2.6555455275726385,2.25439909674524,0.8727781682725883
2,5821,Oracle,-2.854132057913065,1.4138267239113147,-5.625181517159496,-0.0830825986666337,0.043515464020158275
2,5821,Naive,-2.83249185727474,1.4689855022620524,-5.711650535519845,0.046666820970364675,0.05383076105776381
2,5821,StdRC,-2.985827058423304,1.5485081271533367,-6.020847217411415,0.049193100564806524,0.05383076105776384
2,5821,GRC,-2.8795854451249707,1.5191175751344637,-5.8570011806703395,0.09783029042039759,0.05801764665488237
3,6821,Oracle,1.4648690266277251,1.2682307836710518,-1.0208176334525447,3.950555686707995,0.2480702552817157
3,6821,Naive,0.49259920379592176,1.2453391337715507,-1.9482206469346264,2.93341905452647,0.6924338832371822
3,6821,StdRC,0.521266760655286,1.317813531114218,-2.0616002986681354,3.1041338199787076,0.6924338832371821
3,6821,GRC,0.4884316432948018,1.2878103859855672,-2.0356303321535356,3.012493618743139,0.7044851850036393
4,7821,Oracle,-0.7031864107392448,1.3507593327112644,-3.350626054634679,1.9442532331561893,0.6026551975326104
4,7821,Naive,-0.8455611162491606,1.3520164361292066,-3.495464637568604,1.8043424050702828,0.531703690972521
4,7821,StdRC,-0.9025355667006612,1.4431161709320068,-3.730991287234743,1.9259201538334205,0.531703690972521
4,7821,GRC,-0.8885357053486201,1.4204127415234076,-3.6724935219162997,1.8954221112190597,0.5316117528788797
5,8821,Oracle,-1.0315177509449838,1.0839503000106159,-3.1560212999971773,1.09298579810721,0.3412855380508286
