rep,seed,sx2,trunc,lam_mean,lam_min,lam_max,meff_mean,cens
0,4345,0.04429899026235973,0,0.8533173904611432,0.6766816115686073,0.9866245308871546,26.175882087252962,0.42000000000000004
1,5345,0.033293598870689826,0,0.8150759566642799,0.6055051438019589,0.9470164693316299,28.048533215560724,0.45999999999999996
2,6345,0.035663889911034516,0,0.8170083794589409,0.5776878618947848,0.9654661245624893,26.82499107068994,0.48
3,7345,0.015040703721196525,0,0.6406758924353619,0.3510695995653278,0.9771047353802013,26.425150801226945,0.42000000000000004
4,8345,0.03782007866549326,0,0.8304758878261695,0.6497676531087148,0.9747984907910875,26.746347868041,0.4
5,9345,0.03334885324958779,0,0.8078689679432833,0.5907552925017333,0.9693783570257668,27.688233705617975,0.33999999999999997
6,10345,0.027488021846355105,0,0.7827314625997487,0.5857413872627163,0.9349639283319576,28.16975630517343,0.48
7,11345,0.02790466683417342,0,0.7858468521094923,0.5887445023989839,0.9229341778953741,29.297028480972767,0.42000000000000004
8,12345,0.038003564478235566,0,0.8281592364806972,0.6860391270835574,0.9790695745011082,26.43260236545307,0.42000000000000004
9,13345,0.029016708591515422,0,0.7838544116710264,0.5887347432621796,0.9538543663617343,26.789078827224554,0.33999999999999997
10,14345,0.0401756634256986,0,0.8283011839249145,0.6122939841346203,0.9669946640906018,26.697794931233933,0.30000000000000004
11,15345,0.03264906353938182,0,0.8137673582791958,0.6765552484135484,0.9572620029388061,27.33742076907327,0.31999999999999995
12,16345,0.028186185551083737,0,0.7697323648656864,0.573291445673811,0.9248545659477306,26.792775921801816,0.45999999999999996
13,17345,0.026679316861592244,0,0.7753641471082174,0.5151012132201389,0.9535148374767944,29.17051193048453,0.5
14,18345,0.03311556096370161,0,0.8185569358368725,0.6041923241391988,0.9623801009951903,28.912628821005793,0.43999999999999995
15,19345,0.03693844477970791,0,0.8344210907524772,0.6634493195004659,0.9800981103170182,29.059141292860012,0.38
16,20345,0.04789527924574165,0,0.8718088238107395,0.697533678497439,0.9776259795915111,29.665608759813235,0.54
17,21345,0.03694086095479494,0,0.828605494079812,0.6823552697562139,0.9920507708379672,27.020822731215993,0.4
18,22345,0.03113938364655641,0,0.814622393050452,0.5795336519863171,0.9601425455299347,26.54316495549042,0.48
19,23345,0.026171558497936682,0,0.761670578923849,0.5294031106317891,0.9667236057810964,27.044065461163505,0.5
20,24345,0.04918263994631764,0,0.8783868204940526,0.6671256508585657,0.9831718237065685,28.198062529061488,0.42000000000000004
21,25345,0.037146745618546605,0,0.8280483688619968,0.6543158613953264,0.9870021841692218,26.576703303548026,0.48
22,26345,0.033985493270132505,0,0.8076443079605308,0.5427301678187236,0.9511070664097837,25.395837419828027,0.43999999999999995
23,27345,0.023653590669824053,0,0.7465301913876307,0.5724973036269887,0.9374933841077535,25.50828352719769,0.5
24,28345,0.033675079021651344,0,0.8288625023485234,0.5719675977917119,0.9866321928564034,27.340092912755008,0.31999999999999995
25,29345,0.030285085900962787,0,0.7892465164106907,0.5208108733328818,0.9596449400513506,28.639611083990065,0.33999999999999997
26,30345,0.04144761555414076,0,0.849947960213978,0.6456100734588713,0.9945015805589017,27.33494962332314,0.43999999999999995
27,31345,0.0291728997710914,0,0.7876909954596616,0.48777798031069697,0.90144939412063,27.964277121252493,0.52
28,32345,0.04361900853078482,0,0.8577987669566576,0.697261878438305,0.9729245302133478,29.427805032683615,0.5
29,33345,0.02717713017801739,0,0.7689503384467626,0.5619205551297886,0.9435971041882542,27.0568679501248,0.43999999999999995
30,34345,0.026352224450478374,0,0.7849723852098812,0.47663405631868744,0.9557563949088782,28.423402130017458,0.31999999999999995
31,35345,0.03277351077836381,0,0.809063850476325,0.6048513392423073,0.9475110261545454,27.189177004666636,0.33999999999999997
32,36345,0.03466883950640776,0,0.8316186601203727,0.6533113754409693,0.9881419638974895,29.551635199665192,0.48
33,37345,0.023021943387779787,0,0.7613700493216525,0.5815157901619264,0.9284807022147579,29.208773923740242,0.38
34,38345,0.04196274140404656,0,0.8405486240137715,0.6628374942559252,0.9777400607360145,26.656980735182746,0.52
35,39345,0.03164464224977339,0,0.8123379256928556,0.5647113689203457,0.9722676027450756,28.323598394477916,0.43999999999999995
36,40345,0.043188003352294946,0,0.8577208467029942,0.7189703373236326,0.972075281484624,27.792513434653365,0.52
37,41345,0.034354509496670016,0,0.8127671663606251,0.5833593387003655,0.9691311821893812,25.99927020034212,0.54
38,42345,0.03302673941335104,0,0.8193473569617389,0.5476844136602861,0.9955034594182951,27.32888960893088,0.45999999999999996
39,43345,0.03587583983098344,0,0.8284250966452007,0.6338051199706529,0.9485415665849334,29.546508478590393,0.5
40,44345,0.020607017967741968,0,0.7068579892302164,0.5224347807598669,0.8606040183158802,27.371403267129395,0.43999999999999995
41,45345,0.03708602193903839,0,0.838342478448299,0.6536271506152077,0.9704513102378164,29.932295766992038,0.19999999999999996
42,46345,0.022834818161068585,0,0.7475567335102216,0.45866850968570344,0.9805236302844043,28.815379977825515,0.38
43,47345,0.02376877151889132,0,0.7682046595309663,0.5415391508600332,0.9071315554657299,29.33487540074485,0.43999999999999995
44,48345,0.024285138193694523,0,0.7574490258250067,0.4879106912118047,0.9628160406653123,28.397125034056412,0.4
45,49345,0.0309243237120288,0,0.8039180142888432,0.5724423885001764,0.9874012585360618,28.514090644116553,0.42000000000000004
46,50345,0.03026602699634067,0,0.8117307488056318,0.6321653488166386,0.994726280642329,29.71102112371238,0.31999999999999995
47,51345,0.04233027598744654,0,0.8504316796928627,0.6551436812868645,0.9652135238286158,28.20258488455021,0.36
48,52345,0.015877859026861747,0,0.6744517391731842,0.4032313604026987,0.8760857410207571,29.660242174735718,0.42000000000000004
