Method,n_valid,Mean_beta,Bias,RelBias,EmpSE,RMSE,Coverage,Power
Oracle,500,-1.129827683468737,-0.12982768346873708,-12.982768346873709,1.3893274081691374,1.3939962027174433,94.0,15.0
Naive,500,-1.0458516582801087,-0.04585165828010873,-4.585165828010873,1.3087929318120788,1.3082872142811648,94.39999999999999,12.8
StdRC,500,-1.1153292093517362,-0.11532920935173618,-11.532920935173617,1.3961846528232196,1.3995476941280824,94.19999999999999,12.8
GRC,500,-1.1062171530404026,-0.10621715304040258,-10.621715304040258,1.3842114027357921,1.3868998553063845,94.19999999999999,13.0
SIMEX,500,-1.1166166072213566,-0.11661660722135658,-11.661660722135657,1.3963087045637264,1.3997778664928842,92.80000000000001,13.8
