rep,method,beta,ci_lo,ci_hi,p,div
0,Oracle,-2.1263042253397195,-4.723868117263411,0.47125966658397145,0.10863030446791025,0
0,Naive,-0.5677739129816545,-2.429577155501915,1.2940293295386063,0.5500341670136499,0
0,StdRC,-0.735419958793102,-3.1469560167016946,1.6761160991154904,0.5500341670136504,0
0,GRC,-0.7653536769413074,-3.0079025616911306,1.4771952078085155,0.5035522456937971,0
0,Bayesian,-0.8279827384274888,-2.4828353875,0.7069066662500005,0.312,0
1,Oracle,0.31696815447023186,-1.9129088625474275,2.5468451714878912,0.7805509762893073,0
1,Naive,0.3762156949055706,-1.5422486088640905,2.2946799986752318,0.7007161732667624,0
1,StdRC,0.4858587680055269,-1.9917165052059331,2.963434041216987,0.7007161732667624,0
1,GRC,0.3271313270492843,-1.9301775104184087,2.5844401645169772,0.7763798569234936,0
1,Bayesian,-0.16554521177532275,-1.7010994,1.3596408600000003,0.841,0
2,Oracle,-2.6045956460726067,-4.90519203758579,-0.303999254559423,0.026489969663491826,0
2,Naive,-1.6702499645632503,-3.3501658979053306,0.00966596877883008,0.05133285537538136,0
2,StdRC,-2.096706243294839,-4.205546417148608,0.012133930558929862,0.05133285537538135,0
2,GRC,-1.976496222351131,-4.004508447083491,0.05151600238122822,0.056110484345693865,0
2,Bayesian,-1.434147606268225,-2.9530461925,0.0015702767025008901,0.0505,0
3,Oracle,1.7044068100901681,-0.7118988256270027,4.120712445807339,0.16681398648932133,0
3,Naive,0.3221317838373258,-1.4135030934387594,2.057766661113411,0.7160320060351373,0
3,StdRC,0.39886535074256824,-1.7502073233011655,2.5479380247863017,0.7160320060351371,0
3,GRC,0.5051427087721819,-1.4802249001527081,2.490510317697072,0.6180054053166039,0
3,Bayesian,-0.3021488063712425,-1.8047263224999999,1.0782877125,0.6945,0
4,Oracle,-1.6287349264312625,-4.530305876780085,1.2728360239175598,0.27125198116343685,0
4,Naive,-2.0065704946481753,-4.102385106702372,0.08924411740602167,0.060586014373378634,0
4,StdRC,-2.5378181945899683,-5.188508249658896,0.11287186047895936,0.060586014373378634,0
4,GRC,-2.4019186495461726,-4.804213681234437,0.00037638214209145815,0.0500359053635035,0
4,Bayesian,-1.9559540699738749,-3.8022521,-0.27582106074999996,0.0175,0
5,Oracle,-1.1299341910279201,-3.3253156666205,1.0654472845646596,0.3130859682240989,0
5,Naive,-0.27726757404456387,-1.8626736525375331,1.3081385044484055,0.7317692104588512,0
5,StdRC,-0.35687669550286455,-2.3974848851636903,1.6837314941579613,0.7317692104588513,0
5,GRC,-0.21184824409376082,-2.1072233205334387,1.683526832345917,0.8265975291437827,0
5,Bayesian,-0.623814094219448,-1.978646795,0.683553277,0.347,0
6,Oracle,-2.0288168313072092,-4.3943499371445505,0.336716274530132,0.09276728547658374,0
6,Naive,-1.3428892050302663,-3.064904399442478,0.3791259893819454,0.1264007978234718,0
6,StdRC,-1.5814982698279008,-3.609486908338766,0.44649036868296443,0.12640079782347188,0
6,GRC,-1.5545414502622477,-3.4962432984547362,0.38716039793024115,0.11661013619215499,0
6,Bayesian,-1.8037490389520499,-3.3575857325,-0.4025733947499997,0.008,0
7,Oracle,-2.39005835559473,-5.418593522546235,0.6384768113567758,0.12192023341849711,0
7,Naive,-0.5683066071883957,-2.781392416361339,1.6447792019845475,0.6147487941759875,0
7,StdRC,-0.7238970294890608,-3.5428792883625766,2.0950852293844555,0.6147487941759875,0
7,GRC,-0.6828404967318202,-3.2638148069621225,1.898133813498482,0.6040803804212095,0
7,Bayesian,-1.455459126472475,-3.2972685325,0.23319633250000005,0.0895,0
8,Oracle,1.5262122563993272,-1.2154912223550136,4.267915735153668,0.2752532131747553,0
8,Naive,1.2847585909987889,-0.6131781985729756,3.1826953805705536,0.18459262755505076,0
8,StdRC,1.7387747438462873,-0.8298670058528212,4.307416493545396,0.18459262755505085,0
8,GRC,1.3527491047953677,-0.9805529181962589,3.6860511277869943,0.2558295180361865,0
8,Bayesian,0.09623549738451752,-1.4991317825,1.5798232475000002,0.867,0
9,Oracle,1.9198143533630123,-0.46493376555923627,4.3045624722852605,0.1146008284419574,0
9,Naive,1.3007421124551002,-0.34744593230638676,2.948930157216587,0.12191288138523305,0
9,StdRC,1.4853670565610502,-0.3967617691795624,3.3674958823016627,0.12191288138523253,0
9,GRC,1.3515977084784194,-0.47579715474557616,3.1789925717024152,0.14715616573143958,0
9,Bayesian,0.4736412402831975,-0.8275601155,1.7708812400000002,0.469,1
10,Oracle,-0.5132353976360648,-3.0459862838033662,2.0195154885312365,0.6912449489078618,0
10,Naive,0.008531714857154425,-2.0206801536205963,2.037743583334905,0.9934250542206889,0
10,StdRC,0.010022242075525763,-2.3737016527006247,2.393746136851676,0.9934250542206894,0
10,GRC,-0.004834261975585772,-2.29047154371249,2.280803019761318,0.9966924244033121,0
10,Bayesian,-0.636618893737504,-2.161278355,0.8018936865000005,0.4275,0
11,Oracle,-0.5266931963156551,-2.7339898536280787,1.6806034609967684,0.6400162986792641,0
11,Naive,-0.7679312579994003,-2.3843692537896533,0.8485067377908525,0.35178513887325413,0
11,StdRC,-0.9220572252363801,-2.8629188813277127,1.0188044308549522,0.35178513887325413,0
11,GRC,-0.8625761917799114,-2.711394034248663,0.98624165068884,0.3604898730514944,0
11,Bayesian,-1.2503940884440876,-2.7292549325,0.06822107575000008,0.0695,0
12,Oracle,-0.7077503291316445,-3.1868924395932514,1.7713917813299624,0.5757970989497709,0
12,Naive,-0.2843157926781549,-2.174043344663562,1.6054117593072519,0.7680831843950642,0
12,StdRC,-0.3715959729730019,-2.8414381921451644,2.0982462461991607,0.7680831843950642,0
12,GRC,-0.29739201993141456,-2.5775805162933487,1.9827964764305195,0.7982389005826973,0
12,Bayesian,-0.61933509283451,-2.159568205,0.8877964987500003,0.4195,0
13,Oracle,-2.7303438188137235,-5.160549208306154,-0.3001384293212923,0.027663469117593036,0
13,Naive,-1.6246054092582802,-3.324443423116745,0.07523260460018455,0.06103821246250713,0
13,StdRC,-1.8787876930989738,-3.8445787230310677,0.08700333683312023,0.061038212462507103,0
13,GRC,-1.8063536811385026,-3.6890653533122784,0.07635799103527297,0.06004366503587975,0
13,Bayesian,-1.5034024305734002,-3.0123476375,-0.15902384724999977,0.029,0
14,Oracle,-2.581395927891056,-5.387841696621097,0.22504984083898494,0.07142060332264986,0
14,Naive,-2.491364486384156,-4.716520955114899,-0.26620801765341273,0.02820339579258628,0
14,StdRC,-3.134985852390158,-5.934991265869301,-0.3349804389110149,0.02820339579258622,0
14,GRC,-2.795390086644245,-5.243354863003471,-0.34742531028501844,0.025212565826050373,0
14,Bayesian,-2.3377618430250005,-4.1836188425000005,-0.7240982412499999,0.002,0
15,Oracle,-1.8906475135357506,-4.54998800275725,0.768692975685749,0.16349022909417185,0
15,Naive,-0.7706978605971516,-2.6554298908665466,1.1140341696722431,0.4228645577686232,0
15,StdRC,-0.9155227134808166,-3.154422119792237,1.3233766928306039,0.4228645577686232,0
15,GRC,-0.8658836536696524,-3.043647012981774,1.3118797056424691,0.4358111843793959,0
15,Bayesian,-1.2096885674111248,-2.77839805,0.23611998375000007,0.094,0
16,Oracle,0.8759375789581272,-1.4952262182939076,3.247101376210162,0.46904411132322477,0
16,Naive,-0.5492650962347766,-2.5190605156956916,1.4205303232261386,0.5847060269869425,0
16,StdRC,-0.6948718100962961,-3.1868475755746486,1.7971039553820567,0.5847060269869425,0
16,GRC,-0.607738900590927,-2.8850957034338256,1.6696179022519715,0.6009471342702017,0
16,Bayesian,-1.1461113387185125,-2.6832915925000003,0.34089837000000034,0.133,0
17,Oracle,-3.1808258415770694,-6.379562836299408,0.017911153145269143,0.05129670574693741,0
17,Naive,-2.4325468862065245,-4.922764997995632,0.05767122558258286,0.05554698493359894,0
17,StdRC,-3.171780247525095,-6.418757587936922,0.07519709288673138,0.05554698493359897,0
17,GRC,-2.458866402326649,-5.2256027752296905,0.3078699705763932,0.08153154204887894,0
17,Bayesian,-2.25882604750715,-4.214637065,-0.34162566224999935,0.0185,0
18,Oracle,-0.8987692800285598,-3.24689085462592,1.4493522945688,0.4531356400752503,0
18,Naive,-0.669199364795847,-2.246422178505526,0.9080234489138319,0.405639000205419,0
18,StdRC,-0.8068597782899856,-2.7085317115440333,1.094812154964062,0.405639000205419,0
18,GRC,-0.6734469791613594,-2.4300143164606336,1.083120358137915,0.452395821281526,0
18,Bayesian,-1.07708046955929,-2.42371695,0.2293506455000001,0.104,0
19,Oracle,-1.3523155135133456,-4.1581204178695055,1.4534893908428144,0.344840121581795,0
19,Naive,-0.8090781025880693,-2.9961627485326865,1.3780065433565476,0.4684162465359124,0
19,StdRC,-1.0393075185066143,-3.848743973243928,1.7701289362306991,0.4684162465359125,0
19,GRC,-1.1426840809511247,-3.741380508067551,1.4560123461653018,0.3887842287381812,0
19,Bayesian,-1.2104441063436002,-2.8762394600000003,0.30849607975000004,0.1265,0
20,Oracle,-0.7780759605433224,-2.5731823561425267,1.017030435055882,0.39558516657064113,0
20,Naive,-0.7929749510340923,-2.152396791056609,0.5664468889884245,0.25292157953946837,0
20,StdRC,-0.9632254675299564,-2.6145131099939944,0.6880621749340817,0.25292157953946837,0
20,GRC,-0.8211537403134845,-2.3329175027331437,0.6906100221061746,0.2870545675489053,0
20,Bayesian,-1.0530204704966504,-2.2865716899999997,0.16306425825000062,0.0925,0
21,Oracle,-2.4709501227147355,-5.138515651001813,0.19661540557234236,0.0694466436958961,0
21,Naive,-1.188204324157365,-3.4056392642922866,1.0292306159775564,0.29360802988074824,0
21,StdRC,-1.556422641201281,-4.461029093180256,1.348183810777694,0.29360802988074847,0
21,GRC,-1.6107046838066825,-4.312733258319178,1.0913238907058131,0.24266440811661663,0
21,Bayesian,-1.20956607400395,-2.7403028775,0.24958238225000004,0.106,0
22,Oracle,-1.5341439077791548,-4.333062137602379,1.2647743220440693,0.28269001359905055,0
22,Naive,-1.3299487788741307,-3.24688403806044,0.5869864803121785,0.17389270352130815,0
22,StdRC,-1.7610541893340594,-4.299367636059452,0.7772592573913333,0.1738927035213082,0
22,GRC,-1.711755700222264,-4.023830553603379,0.600319153158851,0.146760722624993,0
22,Bayesian,-1.56273913556715,-3.1945026674999997,-0.021631913699999894,0.049,1
23,Oracle,1.1297733583797207,-1.6116155442313227,3.871162260990764,0.419243291791518,0
23,Naive,-0.058386807627466765,-2.19939760778346,2.0826239925285264,0.9573737352313731,0
23,StdRC,-0.08207747907528928,-3.0918116346228532,2.927656676472275,0.9573737352313731,0
23,GRC,-0.12076698786733175,-2.7262487820611185,2.4847148063264552,0.92761454742761,0
23,Bayesian,-0.7402474031270725,-2.5114012675,0.9312051687500004,0.4135,0
24,Oracle,-1.4831369503879028,-3.2293770691773593,0.2631031684015537,0.09598072977837856,0
24,Naive,-0.8726704047674134,-2.1435801237945267,0.39823931425970005,0.1783639126013484,0
24,StdRC,-1.0162413903947638,-2.496240085061807,0.46375730427227957,0.1783639126013484,0
24,GRC,-0.9300276412378287,-2.325336271440322,0.4652809889646644,0.191419126794311,0
24,Bayesian,-0.8281843025252124,-2.0088923125,0.29312178750000023,0.1425,0
25,Oracle,-1.5209812884055975,-4.028825641093526,0.9868630642823306,0.23455868801860402,0
25,Naive,-0.43903579129617326,-2.255409814708239,1.3773382321158922,0.6356832408805373,0
25,StdRC,-0.5963512922837386,-3.0635692676894735,1.870866683121996,0.6356832408805373,0
25,GRC,-0.6595690909072855,-2.9042130853163695,1.5850749035017984,0.5646703724584963,0
