rep,method,beta,ci_lo,ci_hi,p,div
0,Oracle,1.707781011411862,-1.6252316084698437,5.0407936312935675,0.31525648597782613,0
0,Naive,1.1696291547050852,-1.2043509017643492,3.5436092111745197,0.33421994205827876,0
0,StdRC,1.5097684703365493,-1.5545876326618056,4.574124573334904,0.33421994205827893,0
0,GRC,1.5067836264762093,-1.5496671945134197,4.563234447465838,0.3339279317997115,0
0,Bayesian,0.05403668889284251,-1.8730594200000001,1.9213153075000002,0.941,0
1,Oracle,-0.7842088489734754,-3.314657139105181,1.74623944115823,0.5435784592560381,0
1,Naive,-0.9465104612222497,-3.3894223744131584,1.496401451968659,0.4476184278119617,0
1,StdRC,-1.126177655219854,-4.032804600212476,1.7804492897727682,0.4476184278119618,0
1,GRC,-1.412390488576151,-4.3259247707997295,1.5011437936474277,0.34204652182184353,0
1,Bayesian,-1.4358160406178024,-3.3523397925,0.29555369425000017,0.1105,0
2,Oracle,-0.22427564326847896,-3.004255474438763,2.555704187901805,0.8743617387305421,0
2,Naive,-0.7861546562275415,-2.280387933349282,0.7080786208941988,0.3024528589221035,0
2,StdRC,-0.9154585599694361,-2.6554579777638363,0.8245408578249641,0.3024528589221032,0
2,GRC,-0.8559443327541726,-2.4986322453207053,0.7867435798123602,0.3071287903649699,0
2,Bayesian,-0.952783181032866,-2.3167805725,0.2978780972500003,0.149,1
3,Oracle,-2.3117301707109705,-4.938172908546106,0.3147125671241642,0.08450729090258326,0
3,Naive,-1.6307065116402502,-3.7403057600127347,0.4788927367322344,0.12976242029781673,0
3,StdRC,-2.0674666255461096,-4.742090175617186,0.6071569245249671,0.1297624202978165,0
3,GRC,-1.9263993879339325,-4.446838306946649,0.5940395310787845,0.13412748623489373,0
3,Bayesian,-1.3611170282134648,-2.97555582,0.14230233000000053,0.0855,0
4,Oracle,-0.1589411365127615,-2.2676665074324203,1.9497842344068972,0.882557013486424,0
4,Naive,-0.12980489063636486,-1.91439972455844,1.6547899432857103,0.8866372160416455,0
4,StdRC,-0.15461247359649477,-2.280269067023177,1.9710441198301876,0.8866372160416457,0
4,GRC,-0.03239595758559126,-2.0350383114873267,1.970246396316144,0.9747068557805179,0
4,Bayesian,-0.6256100813291675,-2.04783516,0.7746137552500001,0.384,0
5,Oracle,-0.8738955586292725,-3.405764719707234,1.657973602448689,0.498724666475416,0
5,Naive,-0.9175061787821801,-2.8839508130393643,1.0489384554750039,0.36046340641149055,0
5,StdRC,-1.1291892999761695,-3.5493236722002908,1.2909450722479519,0.36046340641149033,0
5,GRC,-1.0498567728549912,-3.271319751714768,1.1716062060047854,0.35430405687551425,0
5,Bayesian,-0.891537741580345,-2.49045548,0.6166986107500007,0.273,0
6,Oracle,-2.467337474215987,-5.305226957930201,0.3705520094982271,0.08837260145983125,0
6,Naive,-1.639545778355247,-3.6698323892637186,0.39074083255322467,0.11347682378179297,0
6,StdRC,-2.0380882394430917,-4.561898991798158,0.48572251291197377,0.11347682378179241,0
6,GRC,-1.7709944737915182,-4.053747270449509,0.5117583228664728,0.12836778380310196,0
6,Bayesian,-1.3251879135541564,-2.937414375,0.23914515825000043,0.0925,0
7,Oracle,-0.003317694533185467,-2.4712892534460353,2.464653864379664,0.997897752248542,0
7,Naive,0.5107170134120521,-1.3367187659874453,2.3581527928115498,0.587939044488722,0
7,StdRC,0.6177406393458383,-1.6168357102692488,2.8523169889609257,0.587939044488722,0
7,GRC,0.34995082005115347,-1.7109166961328293,2.410818336235136,0.7392726962002941,0
7,Bayesian,-0.6584985376979401,-2.2331990775,0.7956217295000001,0.394,0
8,Oracle,-1.4427751820221089,-3.6215276390692477,0.7359772750250302,0.1943241323322227,0
8,Naive,-0.7942094569411363,-2.6629414675145244,1.0745225536322516,0.4048543365031615,0
8,StdRC,-1.0344722507592465,-3.468529654821337,1.3995851533028436,0.4048543365031615,0
8,GRC,-0.9320906468419872,-3.2639236219085026,1.3997423282245283,0.43336553411667234,0
8,Bayesian,-1.1017686942431,-2.563222825,0.4165400135000001,0.153,0
9,Oracle,-2.93592102367475,-5.787870407211882,-0.08397164013761849,0.04362539438441757,0
9,Naive,-0.9679846443684934,-3.2376678079180916,1.3016985191811046,0.40321441364239996,0
9,StdRC,-1.276332116625157,-4.269013388022431,1.7163491547721175,0.40321441364239996,0
9,GRC,-1.3760428842124923,-4.271178313899308,1.5190925454743234,0.35156358216683004,0
9,Bayesian,-1.01404601889472,-2.795669775,0.6537233617500001,0.247,0
10,Oracle,-2.9193856098158446,-5.594984767508853,-0.24378645212283656,0.03247249195902029,0
10,Naive,-2.1942630372752285,-4.353539903685537,-0.03498617086492084,0.04640170644511779,0
10,StdRC,-2.6279305224477914,-5.21396031343466,-0.04190073146092255,0.04640170644511788,0
10,GRC,-2.672372241298437,-5.134984311619358,-0.20976017097751587,0.03342759193293866,0
10,Bayesian,-1.5693724820013,-3.0714267175,-0.10628638549999989,0.0365,0
11,Oracle,-1.4032544594821983,-3.6653123580850817,0.8588034391206854,0.22404120790715612,0
11,Naive,-0.1548549403667531,-2.055877632623799,1.7461677518902925,0.8731518861574832,0
11,StdRC,-0.1855122439767528,-2.4628886367227505,2.091864148769245,0.8731518861574833,0
11,GRC,-0.2756642211286314,-2.4706092510274984,1.9192808087702358,0.8055639233573285,0
11,Bayesian,-0.7517874362662387,-2.3310170625,0.7379269562500003,0.3285,0
12,Oracle,-3.095744268758353,-5.421314905006288,-0.770173632510418,0.00907920121474246,0
12,Naive,-2.703438368337932,-4.892557746726823,-0.5143189899490408,0.015501547800056796,0
12,StdRC,-3.2488157966105335,-5.879556597092896,-0.6180749961281711,0.015501547800056841,0
12,GRC,-2.933266458024368,-5.593191770908701,-0.27334114514003405,0.030666367942352217,0
12,Bayesian,-2.31615641730575,-4.03407659,-0.6484665064999994,0.0045,0
13,Oracle,0.6282311283350379,-1.4825454275227659,2.739007684192842,0.5596612549233828,0
13,Naive,0.3911398540679443,-1.1534128525994471,1.9356925607353357,0.6196560398811349,0
13,StdRC,0.47302953341110027,-1.3948932531961011,2.340952320018302,0.6196560398811353,0
13,GRC,0.44136328765568383,-1.2833151695243088,2.1660417448356766,0.6159662840138809,0
13,Bayesian,-0.35497817600860754,-1.710777595,0.93309294475,0.6005,0
14,Oracle,-0.31912486450182104,-2.18761743452057,1.5493677055169282,0.7378155568328459,0
14,Naive,-0.3842431446614295,-1.9921736877666634,1.2236873984438046,0.6395216646977648,0
14,StdRC,-0.4592062227001672,-2.3808324672339207,1.4624200218335865,0.6395216646977648,0
14,GRC,-0.5169612020007004,-2.4127685627686395,1.378846158767239,0.5930261863007634,0
14,Bayesian,-0.5327417164593478,-2.0255052625,0.831029725,0.469,0
15,Oracle,-2.673438765919958,-5.379369116098376,0.032491584258460104,0.052815103924120976,0
15,Naive,-1.1326536726457739,-3.229322845980545,0.9640155006889974,0.2896893344853053,0
15,StdRC,-1.3865762816463518,-3.9532847260856196,1.180132162792916,0.2896893344853054,0
15,GRC,-1.3657705286648099,-3.905859274374172,1.1743182170445519,0.29195366665491873,0
15,Bayesian,-1.3922345778250773,-3.1210806375,0.2876973402500005,0.102,0
16,Oracle,-4.230565346189938,-7.128289940665861,-1.3328407517140155,0.004216797032124409,0
16,Naive,-2.00707855857983,-4.063238205573449,0.04908108841378933,0.05572512653712517,0
16,StdRC,-2.5199589067672585,-5.101540875259453,0.06162306172493626,0.05572512653712517,0
16,GRC,-2.2829963974682697,-4.777272898196729,0.2112801032601901,0.07282221295507525,0
16,Bayesian,-1.97343154903112,-3.6321525875000003,-0.44426120799999874,0.0095,0
17,Oracle,-2.466435632591589,-5.528494703907793,0.5956234387246147,0.11440096129954053,0
17,Naive,-1.6464281592241232,-4.041612484331753,0.7487561658835069,0.17789599090476382,0
17,StdRC,-1.996509953462883,-4.90098490347174,0.9079649965459744,0.17789599090476377,0
17,GRC,-1.8737930782787773,-4.635969882755047,0.8883837261974925,0.18365288264793628,0
17,Bayesian,-1.85644441318905,-3.77868811,-0.0923936021249998,0.042,0
18,Oracle,-0.09530733383329626,-2.617862397142754,2.4272477294761616,0.9409694206740395,0
18,Naive,0.4647716349893069,-1.683288330614369,2.612831600592983,0.671512089599042,0
18,StdRC,0.5860183422971852,-2.122414026272332,3.294450710866702,0.6715120895990421,0
18,GRC,0.5825165544296217,-1.975730724584801,3.1407638334440446,0.6553902381275925,0
18,Bayesian,-0.49275676916322747,-2.2190239000000003,1.0918111225,0.589,0
19,Oracle,0.14644609032917386,-2.207439286839345,2.500331467497693,0.9029477882363289,0
19,Naive,0.8117661348271059,-0.8298800400138322,2.4534123096680442,0.3324609342245483,0
