rep,method,beta,se,ci_lo,ci_hi,p,div
0,Oracle,-1.7784616373510456,1.3559871887209682,-4.436147690741861,0.8792244160397698,0.18966786992589627,0
0,Naive,-1.6850982000936834,1.3252825445799081,-4.282604256809902,0.9124078566225351,0.20355043988701943,0
0,StdRC,-1.7632021107562954,1.3867090830800577,-4.48110197062777,0.9546977491151791,0.20355043988701935,0
0,GRC,-1.7452941589087856,1.3804704358288635,-4.45096649485567,0.9603781770380988,0.20613136582832978,0
0,Bayesian,-1.8092694242794,0.8903000730640879,-3.6448233825,-0.06572441075000039,0.038,0
1,Oracle,0.6576638056710875,1.4107167118706305,-2.107290141984117,3.422617753326292,0.6410786026217146,0
1,Naive,1.0179026646868778,1.2455857848679397,-1.4234006133093398,3.4592059426830954,0.41380957305950417,0
1,StdRC,1.1337332128080961,1.3873251566158593,-1.585374129005378,3.8528405546215705,0.41380957305950417,0
1,GRC,1.0867497358833238,1.3516021348352845,-1.5623417698212836,3.735841241587931,0.4213706460451101,0
1,Bayesian,-0.09712603501077,0.8386031568491482,-1.8253376075,1.6141612525,0.936,1
2,Oracle,-3.5329210222412595,1.448887319058692,-6.37268798525309,-0.6931540592294292,0.01475373048467907,0
2,Naive,-3.4563059707118198,1.56488547547663,-6.523425142575853,-0.38918679884778706,0.027198031003990063,0
2,StdRC,-3.743940237327613,1.6951154637619916,-7.066305495938028,-0.42157497871719807,0.027198031003990066,0
2,GRC,-3.5875506174753955,1.6507212070988124,-6.822904731905552,-0.3521965030452394,0.029756004144526765,0
2,Bayesian,-1.900646357523,0.8397806630121306,-3.55112293,-0.2973855572500002,0.014,0
3,Oracle,-0.3951813362807895,1.0793811251525782,-2.5107294671721636,1.7203667946105847,0.7142766964632956,0
3,Naive,-0.2977963111499711,1.0425614642904069,-2.34117923282851,1.745586610528568,0.7751545583740931,0
3,StdRC,-0.3136261618721671,1.0979805266847698,-2.4656284499006356,1.8383761261563016,0.7751545583740932,0
3,GRC,-0.2878390573148227,1.0851130740743855,-2.414621601654162,1.8389434870245167,0.7908077827210052,0
