Method,Mean,Bias,RelBias,Cov,n
Oracle,-1.1214960507945413,-0.12149605079454129,-12.14960507945413,91.0,100
Naive,-1.0487730759581748,-0.048773075958174816,-4.877307595817482,91.0,100
StdRC,-1.1173416363226927,-0.11734163632269268,-11.734163632269269,91.0,100
GRC,-1.1027898736972859,-0.10278987369728587,-10.278987369728586,90.0,100
Bayesian,-1.1790928192153165,-0.1790928192153165,-17.90928192153165,98.0,100
