Method,Mean,Bias,RelBias,Cov,n
Oracle,-0.9615959342369881,0.03840406576301192,3.840406576301192,98.0,100
Naive,-0.6792542084521729,0.3207457915478271,32.07457915478271,92.0,100
StdRC,-0.9737136143787093,0.02628638562129071,2.628638562129071,91.0,100
GRC,-0.8925686874782504,0.10743131252174964,10.743131252174965,94.0,100
Bayesian,-1.0794591841270595,-0.07945918412705955,-7.945918412705955,98.0,100
