rep,method,beta,se,ci_lo,ci_hi,p,div
0,Oracle,0.11820322241457386,1.2568821375542847,-2.3452405000035426,2.58164694483269,0.9250735734780775,0
0,Naive,0.10507893481279251,1.004313953407696,-1.8633402430373294,2.0734981126629144,0.9166713320546538,0
0,StdRC,0.13844898265671904,1.3232551830199502,-2.455083518418341,2.731981483731779,0.9166713320546539,0
0,GRC,-0.06779244589961728,1.2582469641603722,-2.533911179310807,2.3983262875115727,0.9570319746270809,0
0,Bayesian,-0.39075609006251,0.7253777599524326,-1.860029175,0.9955485214999998,0.594,0
1,Oracle,-0.677987215795946,1.3163652342127237,-3.258015665353517,1.9020412337616253,0.6065216364968261,0
1,Naive,-0.6196692408451099,1.1500449709528027,-2.873715964514016,1.634377482823796,0.5900098562069038,0
1,StdRC,-0.8428673288998169,1.5642786004024805,-3.9087970474754012,2.2230623896757677,0.5900098562069038,0
1,GRC,-0.9522132668593521,1.4058252692394784,-3.707580163125055,1.8031536294063504,0.4981940570590593,0
1,Bayesian,-1.3678116047793,0.9847617314953344,-3.5268923725,0.4263253524999996,0.154,0
2,Oracle,-1.14611405871843,1.3325970719007083,-3.757956325547351,1.465728208110491,0.3897557122757246,0
2,Naive,-0.8058255763286988,1.1239286819122287,-3.0086853140682415,1.3970341614108441,0.4733912741135611,0
2,StdRC,-1.1676316883608666,1.628559309866176,-4.359549282385977,2.024285905664244,0.4733912741135611,0
2,GRC,-1.4206133979471096,1.4998302451354733,-4.360226661336518,1.5189998654422985,0.34354564280015487,0
2,Bayesian,-1.3915529070487,0.7848018300453656,-2.9405844400000003,0.12876120349999998,0.07,0
3,Oracle,0.9858611848267615,1.1848996421210638,-1.3364994390249227,3.3082218086784456,0.40539718657965207,0
3,Naive,0.7917140395127635,0.867295565086358,-0.9081540320078123,2.491582111033339,0.36131944626994916,0
3,StdRC,1.019241406709153,1.1165439889574909,-1.1691445988022169,3.207627412220523,0.36131944626994916,0
3,GRC,0.9559919728933611,1.0260265098080237,-1.054983033513698,2.96696697930042,0.3514698851032886,0
3,Bayesian,-0.05861289053144999,0.6915707484797488,-1.4471827375,1.2800387624999998,0.942,0
4,Oracle,-1.4241141498556564,1.3232461997283342,-4.017629044002686,1.1694007442913736,0.2818254560041979,0
4,Naive,-1.0689962551062857,1.0266085537129912,-3.081112046604502,0.9431195363919307,0.2977414128882018,0
4,StdRC,-1.4344124365692137,1.3775352999602757,-4.134332011923934,1.2655071387855066,0.297741412888202,0
4,GRC,-1.1604999570954997,1.2533248683259002,-3.6169715599426695,1.2959716457516703,0.35447868476502975,0
4,Bayesian,-0.9722021556483851,0.7987926554613484,-2.52824777,0.5532934109999998,0.21,0
5,Oracle,-0.14525811663589958,1.3536886246869688,-2.798439067303917,2.5079228340321174,0.9145466905681872,0
5,Naive,-1.3346565144716211,1.0738926221955707,-3.439447377238219,0.7701343482949765,0.21393372950465447,0
5,StdRC,-1.8952788348312448,1.5249810986270569,-4.884186865244601,1.093629195582111,0.21393372950465447,0
5,GRC,-1.6827539002169505,1.381467066527325,-4.390379596438707,1.0248717960048055,0.2231890361257828,0
5,Bayesian,-1.0878475622677999,0.8671345171786313,-2.90207302,0.5036863689999995,0.224,0
6,Oracle,-2.4169657761380443,1.3043978878720326,-4.973538657877343,0.1396071056012551,0.06389153555372754,0
6,Naive,-1.3090029355511676,1.1366850221650535,-3.5368646407607858,0.9188587696584505,0.24948676028899855,0
6,StdRC,-1.7266231350409478,1.4993294539086208,-4.665254865661952,1.212008595580056,0.24948676028899847,0
6,GRC,-1.5888545061320973,1.3997745698455104,-4.332362249504344,1.1546532372401492,0.2563422832079623,0
6,Bayesian,-1.3631478097171,0.8217838670703761,-2.8963367725,0.19504436774999998,0.086,0
7,Oracle,-1.5234324276534197,1.2372351154199637,-3.948368694284805,0.9015038389779659,0.21820317876160214,0
7,Naive,-1.119244703480344,1.0275191824143128,-3.1331452944364395,0.8946558874757511,0.2760353170878222,0
7,StdRC,-1.4966787542780882,1.3740213602535947,-4.189711134363868,1.1963536258076921,0.2760353170878223,0
7,GRC,-1.390059411280591,1.2632613282951701,-3.866006117801354,1.0858872952401717,0.2711693776674713,0
7,Bayesian,-1.2736980128911,0.8287783425993868,-3.0821246524999997,0.25731004724999973,0.098,0
